,PATTERN,RECODING2,TOTAL_OCCURRENCES
4216,tariff hist us,STATISTICAL DATA,10
4217,tax reform cost capi,ECONOMICS,10
4218,teaching ec undergra,ECONOMICS,10
4219,textbook econometric,ECONOMICS,10
4220,theor value,ECONOMICS,10
4221,theories surplus val,ECONOMICS,10
4222,theory ec dynamics,ECONOMICS,10
4223,theory firm,ECONOMICS,10
4224,theory incentives re,ECONOMICS,10
4225,theory union bargain,ECONOMICS,10
4226,theory wages employm,ECONOMICS,10
4227,thesis carnegiemello,DK,10
4228,thesis mit cambridge,DK,10
4229,thesis u bonn,DK,10
4230,thesis u chicago chi,DK,10
4231,thesis u warwick,DK,10
4232,towards dynamic econ,ECONOMICS,10
4233,trabajos estadistica,STATISTICS,10
4234,treatise human natur,PHILOSOPHY,10
4235,u brit col,DK,10
4236,u cal west man s,HISTORY,10
4237,u cambr dep app,ECONOMICS,10
4238,u cambr ec theor,ECONOMICS,10
4239,u ec,DK,10
4240,u ess disc pap,DK,10
4241,u osl dep ec,ECONOMICS,10
4242,u oxf,DK,10
4243,u penns penn i,DEMOGRAPHY,10
4244,u penns whart s,DK,10
4245,u zur i emp res,ECONOMICS,10
4246,unpub bell j ec,ECONOMICS,10
4247,unpub characterizing,DK,10
4248,unpub dynamic model,DK,10
4249,unpub heterogeneity,DK,10
4250,unpub int ec rev,ECONOMICS,10
4251,unpub j math ec,ECONOMICS,10
4252,unpub j public ec,ECONOMICS,10
4253,unpub risk aversion,ECONOMICS,10
4254,unpub term structure,FINANCE,10
4255,unpublished memorand,DK,10
4256,untangling income ta,ECONOMICS,10
4257,us bur cens,DEMOGRAPHY,10
4258,us bureau labor stat,STATISTICAL DATA,10
4259,us c joint ec com,ECONOMICS,10
4260,using surveys value,ECONOMICS,10
4261,values public policy,PUBLIC POL,10
4262,vierteljahrshefte ko,DK,10
4263,w,DK,10
4264,w j agr ec,ECONOMICS,10
4265,wages capital,ECONOMICS,10
4266,washington post,MEDIA,10
4267,wealth poverty natio,ECONOMICS,10
4268,who is behav cogniti,PSYCHOLOGY,10
4269,winner take all soc,SOCIOLOGY,10
4270,workers wages urban,ECONOMICS,10
4271,ye,DK,10
4272,youth labor market p,ECONOMICS,10
4273,z wirtschafts sozial,ECONOMICS,10
4274,20th century capital,ECONOMICS,9
4275,6th p berk s math st,MATHEMATICS,9
4276,abstract brit hist s,HISTORY,9
4277,accuracy economic ob,ECONOMICS,9
4278,achieving soc,SOCIOLOGY,9
4279,acta sci math,MATHEMATICS,9
4280,adv appl math,MATHEMATICS,9
4281,adv behav finance,FINANCE,9
4282,adv theory stat,STATISTICS,9
4283,advertising competit,COMMUNICATION,9
4284,advertising market p,COMMUNICATION,9
4285,agency problems fina,FINANCE,9
4286,agr dev theory,AGRICULTURE,9
4287,agr econ res,ECONOMICS,9
4288,am bankers ass j,FINANCE,9
4289,am ec j mic in press,ECONOMICS,9
4290,am families,SOCIOLOGY,9
4291,am political sci rev,POLSCIENCE,9
4292,am prospect,MEDIA,9
4293,am treasure price re,FINANCE,9
4294,anal evaluation publ,PUBLIC POL,9
4295,ann am acad poli nov,POLSCIENCE,9
4296,ann econ financ,POLSCIENCE,9
4297,ann i h poincare-pr,MATHEMATICS,9
4298,apic newsletter,HEALTH,9
4299,appl financial ec,ECONOMICS,9
4300,applied game theory,ECONOMICS,9
4301,arms influence,POLSCIENCE,9
4302,austr ec rev,ECONOMICS,9
4303,austr j statistics,STATISTICS,9
4304,austrian crown,DK,9
4305,autobiography,DK,9
4306,bank capital adequac,FINANCE,9
4307,bank engl q b,STATISTICAL DATA,9
4308,bargaining incomplet,ECONOMICS,9
4309,barriers riches,ECONOMICS,9
4310,basic business finan,FINANCE,9
4311,bayern zahlen,DK,9
4312,bayesian stat,STATISTICS,9
4313,be j ec anal policy,ECONOMICS,9
4314,behav game theory,ECONOMICS,9
4315,bost coll,DK,9
4316,bounded rational beh,PSYCHOLOGY,9
4317,brit ec growth ind r,ECONOMICS,9
4318,brit hist stat,STATISTICAL DATA,9
4319,brit ind revolution,HISTORY,9
4320,brown u work pa,DK,9
4321,budgets bureaucrats,POLSCIENCE,9
4322,bureau labor stat b,STATISTICAL DATA,9
4323,bureaucratic corrupt,POLSCIENCE,9
4324,business cycles busi,ECONOMICS,9
4325,business cycles us 1,ECONOMICS,9
4326,business enterprise,BUSINESS,9
4327,c electoral connecti,POLSCIENCE,9
4328,c int cnrs,DK,9
4329,c res income wealth,ECONOMICS,9
4330,c series federal res,ECONOMICS,9
4331,capital asset pricin,FINANCE,9
4332,capital consumption,ECONOMICS,9
4333,capital utilization,ECONOMICS,9
4334,carn roch c ser publ,PUBLIC POL,9
4335,causes consequences,DK,9
4336,cens,DK,9
4337,century bank rate,FINANCE,9
4338,chance,DK,9
4339,chinese ec j,ECONOMICS,9
4340,chronicle,DK,9
4341,cit,DK,9
4342,cities ec dev dawn h,URBAN STUDIES,9
4343,clarendon lect ec,ECONOMICS,9
4344,col u work pap,DK,9
4345,collected works,DK,9
4346,collectivist economi,ECONOMICS,9
4347,commun stat,STATISTICS,9
4348,computation economic,ECONOMICS,9
4349,conditional inferenc,STATISTICS,9
4350,cont rev,DK,9
4351,contingent valuation,ECONOMICS,9
4352,contracts,LAW,9
4353,contributions macroe,ECONOMICS,9
4354,convexity,MATHEMATICS,9
4355,corporate financing,BUSINESS,9
4356,criminal careers car,DK,9
4357,cross natl time seri,ECONOMICS,9
4358,ctr ec pol res di,ECONOMICS,9
4359,dec ec soc,DK,9
4360,decision making expt,PSYCHOLOGY,9
4361,decisions uncertaint,PSYCHOLOGY,9
4362,determinants nationa,ECONOMICS,9
4363,dev biol stand,NATURAL SCIENCES,9
4364,did brit capitalism,ECONOMICS,9
4365,diffusion process in,DK,9
4366,dilemma freight tran,BUSINESS,9
4367,direct foreign inves,FINANCE,9
4368,disequilibrium dynam,ECONOMICS,9
4369,do taxes matter,ECONOMICS,9
4370,dow jones averages 1,FINANCE,9
4371,dtsch volkswirtschaf,ECONOMICS,9
4372,dynamic econometrics,ECONOMICS,9
4373,e,DK,9
4374,e as mir,DK,9
4375,ec b latin am,ECONOMICS,9
4376,ec design,ECONOMICS,9
4377,ec effects fundament,ECONOMICS,9
4378,ec essays honor jb c,ECONOMICS,9
4379,ec fisheries managem,BUSINESS,9
4380,ec human welfare ess,ECONOMICS,9
4381,ec inflation,ECONOMICS,9
4382,ec legal minimum wag,ECONOMICS,9
4383,ec marriage theory m,ECONOMICS,9
4384,ec org agr,AGRICULTURE,9
4385,ec policy regulation,ECONOMICS,9
4386,ec political weekly,POLSCIENCE,9
4387,ec public utilities,ECONOMICS,9
4388,ec social security,ECONOMICS,9
4389,ec surv eur,ECONOMICS,9
4390,ec trade unions,ECONOMICS,9
4391,ec trends soviet uni,ECONOMICS,9
4392,ec value ed,ECONOMICS,9
4393,ec world trading sys,FINANCE,9
4394,ec writings w petty,ECONOMICS,9
4395,econ plann,ECONOMICS,9
4396,econometric studies,ECONOMICS,9
4397,economic essays,ECONOMICS,9
4398,economic essays hono,ECONOMICS,9
4399,economic value educa,ECONOMICS,9
4400,ECONOMICSaustralian,ECONOMICS,9
4401,ECONOMICShigher edu,ECONOMICS,9
4402,ed next,DK,9
4403,effect unemployment,ECONOMICS,9
4404,efficiency equality,DK,9
4405,ej,DK,9
4406,ekon tidskrift,ECONOMICS,9
4407,elements real anal,MATHEMATICS,9
4408,elusive quest growth,ECONOMICS,9
4409,employ earn,ECONOMICS,9
4410,employment earnings,ECONOMICS,9
4411,employment manufactu,ECONOMICS,9
4412,employment problem l,ECONOMICS,9
4413,ency britannica,DK,9
4414,energ j,BUSINESS,9
4415,epidemiology,HEALTH,9
4416,essai application an,DK,9
4417,eugenics rev,HEALTH,9
4418,european hist statis,STATISTICAL DATA,9
4419,european integration,POLSCIENCE,9
4420,european monetary sy,ECONOMICS,9
4421,exchange production,ECONOMICS,9
4422,expectations structu,FINANCE,9
4423,explorations ec note,ECONOMICS,9
4424,expt business res,BUSINESS,9
4425,extreme values regul,STATISTICS,9
4426,f expected utility,ECONOMICS,9
4427,f math other logical,MATHEMATICS,9
4428,facts factors ec his,ECONOMICS,9
4429,fatal tradeoffs publ,SOCIOLOGY,9
4430,fdn trends finance,FINANCE,9
4431,fed res bank wor,ECONOMICS,9
4432,fed res board in,ECONOMICS,9
4433,fed reserve bank min,ECONOMICS,9
4434,financial analys nov,FINANCE,9
4435,financial stability,FINANCE,9
4436,financial system des,FINANCE,9
4437,financing small busi,BUSINESS,9
4438,finite markov chains,STATISTICS,9
4439,fiscal i fiscal perf,ECONOMICS,9
4440,fiscal policies am e,ECONOMICS,9
4441,flow funds approach,FINANCE,9
4442,food research i stud,AGRICULTURE,9
4443,foreign agr,AGRICULTURE,9
4444,free trade us canada,ECONOMICS,9
4445,futures,FINANCE,9
4446,g,DK,9
4447,game theory appl,ECONOMICS,9
4448,game theory ec model,ECONOMICS,9
4449,game theory related,ECONOMICS,9
4450,gift relationship,PUBLIC POL,9
4451,gifts athena hist or,HISTORY,9
4452,golden rules ec grow,ECONOMICS,9
4453,govt capital formati,POLSCIENCE,9
4454,growth fluctuations,ECONOMICS,9
4455,growth profitability,ECONOMICS,9
4456,growth rate japanese,ECONOMICS,9
4457,happiness quantified,PSYCHOLOGY,9
4458,harried leisure clas,ECONOMICS,9
4459,harv u ctr int a,POLSCIENCE,9
4460,harv u harv i e,ECONOMICS,9
4461,harvard business spr,BUSINESS,9
4462,hdb dev ec b,ECONOMICS,9
4463,hdb hlth ec b,ECONOMICS,9
4464,hdb new i ec,ECONOMICS,9
4465,health care financ r,HEALTH,9
4466,hebr u ctr res ma,DK,9
4467,hidden costs reward,PSYCHOLOGY,9
4468,higher education us,EDUCATION,9
4469,hist theories produc,ECONOMICS,9
4470,history interest rat,FINANCE,9
4471,holding sch accounta,BUSINESS,9
4472,home office res stud,OTHER,9
4473,housing markets raci,ECONOMICS,9
4474,how pay war,ECONOMICS,9
4475,hum organ,SOCIOLOGY,9
4476,i fisc stud wor,ECONOMICS,9
4477,ibm j res dev,COMPUTER,9
4478,ifo studien,ECONOMICS,9
4479,impact sch resources,EDUCATION,9
4480,in press ind labor r,BUSINESS,9
4481,in press j ec hist,ECONOMICS,9
4482,in press j law ec,ECONOMICS,9
4483,in press j risk unce,ECONOMICS,9
4484,in press new palgrav,ECONOMICS,9
4485,in press public choi,ECONOMICS,9
4486,income wealth us,ECONOMICS,9
4487,incomes policy infla,ECONOMICS,9
4488,ind concentration pr,BUSINESS,9
4489,ind profits us,BUSINESS,9
4490,index,DK,9
4491,indian econ j,ECONOMICS,9
4492,indian economic rev,ECONOMICS,9
4493,individual income ta,ECONOMICS,9
4494,inflation monetarist,ECONOMICS,9
4495,inflation stabilizat,ECONOMICS,9
4496,information content,DK,9
4497,initial public offer,FINANCE,9
4498,insee,STATISTICAL DATA,9
4499,inside bureaucracy,POLSCIENCE,9
4500,int agr trade adv re,ECONOMICS,9
4501,int allocation ec ac,ECONOMICS,9
4502,int division labour,ECONOMICS,9
4503,int ec j,ECONOMICS,9
4504,int ec rev in press,ECONOMICS,9
4505,int ec t issues meas,ECONOMICS,9
4506,int economic rev oct,ECONOMICS,9
4507,int fin stat yb,FINANCE,9
4508,int financial manage,FINANCE,9
4509,int investment domes,ECONOMICS,9
4510,int mon fund occ,ECONOMICS,9
4511,int rep,DK,9
4512,int rev appl ec,ECONOMICS,9
4513,int trade central pl,ECONOMICS,9
4514,intellectual propert,LAW,9
4515,intro copulas,STATISTICS,9
4516,intro linear program,MATHEMATICS,9
4517,intro math probabili,STATISTICS,9
4518,intro matrices appli,MATHEMATICS,9
4519,intro risk return co,FINANCE,9
4520,intro statistical de,STATISTICS,9
4521,inventors money make,ECONOMICS,9
4522,investment anal,ECONOMICS,9
4523,investor protection,LAW,9
4524,iowa agr expt statio,AGRICULTURE,9
4525,irrational exuberance-second edition,FINANCE,9
4526,issues financial reg,LAW,9
4527,iza discussion paper,ECONOMICS,9
4528,j am stat ass s,STATISTICS,9
4529,j am statistical jun,STATISTICS,9
4530,j assoc am med coll,HEALTH,9
4531,j common mark stud,ECONOMICS,9
4532,j comp physiol psych,PSYCHOLOGY,9
4533,j complexity,MATHEMATICS,9
4534,j comput financ,FINANCE,9
4535,j dev ec in press,ECONOMICS,9
4536,j ec lit in press,ECONOMICS,9
4537,j econ inequal,ECONOMICS,9
4538,j industrial economi,ECONOMICS,9
4539,j int ec in press,ECONOMICS,9
4540,j negro hist,HISTORY,9
4541,j oper res soc am,BUSINESS,9
4542,j organ behav,SOCIOLOGY,9
4543,j political econ mar,ECONOMICS,9
4544,j portfolio mana sum,FINANCE,9
4545,j public economics,ECONOMICS,9
4546,j quant criminol,SOCIOLOGY,9
4547,j royal statistica 2,STATISTICS,9
4548,j soc stat paris,STATISTICS,9
4549,journal of optimization theory and applications,MATHEMATICS,9
4550,keio ec studies,ECONOMICS,9
4551,keynes ec legacy con,ECONOMICS,9
4552,labor ec labor relat,ECONOMICS,9
4553,land labor rural pov,URBAN STUDIES,9
4554,lect ec problems,ECONOMICS,9
4555,lecture notes statis,STATISTICS,9
4556,lectures calculus va,MATHEMATICS,9
4557,lessons great depres,ECONOMICS,9
4558,lessons monetary exp,ECONOMICS,9
4559,liberalizing foreign,ECONOMICS,9
4560,linear integral equa,MATHEMATICS,9
4561,linear rational expe,ECONOMICS,9
4562,liquidity busi unpub,ECONOMICS,9
4563,local bias individua,FINANCE,9
4564,location ec activity,URBAN STUDIES,9
4565,lond sch ec disc,DK,9
4566,macro economic theor,ECONOMICS,9
4567,management brit econ,ECONOMICS,9
4568,manp res mon,AGRICULTURE,9
4569,marginal cost pricin,ECONOMICS,9
4570,market college train,DK,9
4571,market control alumi,BUSINESS,9
4572,markov chains,STATISTICS,9
4573,math comput model,MATHEMATICS,9
4574,measurement definiti,DK,9
4575,mergers managers eco,BUSINESS,9
4576,methodology ec,ECONOMICS,9
4577,mich stat u ec,ECONOMICS,9
4578,microeconomic f infl,ECONOMICS,9
4579,microfoundations emp,ECONOMICS,9
4580,midwest j polit sci,POLSCIENCE,9
4581,minn law rev,LAW,9
4582,mod china,DK,9
4583,models man social ra,SOCIOLOGY,9
4584,modern portfolio the,FINANCE,9
4585,moment inequalities,STATISTICS,9
4586,monetary policy infl,ECONOMICS,9
4587,monetary theory a sm,ECONOMICS,9
4588,money capacity growt,ECONOMICS,9
4589,money illusion,ECONOMICS,9
4590,monthly labor re feb,STATISTICAL DATA,9
4591,moodys bond survey,FINANCE,9
4592,moral basis backward,SOCIOLOGY,9
4593,multiple self,PSYCHOLOGY,9
4594,mutual fund performa,FINANCE,9
4595,nat bur ec re,ECONOMICS,9
4596,nat i disc pap,DK,9
4597,nat neurosci,HEALTH,9
4598,natl bureau ec res c,ECONOMICS,9
4599,natl bureau ec res m,ECONOMICS,9
4600,natural resource con,NATURAL SCIENCES,9
4601,nber int sem macr 20,ECONOMICS,9
4602,nber wp,ECONOMICS,9
4603,neural networks,COMPUTER,9
4604,new directions sovie,HISTORY,9
4605,new directions trade,ECONOMICS,9
4606,new palgrave,ECONOMICS,9
4607,nonlinear parameter,STATISTICS,9
4608,nonlinear preference,ECONOMICS,9
4609,nonlinear time serie,STATISTICS,9
4610,nonparametric instru,STATISTICS,9
4611,nordic stat j,STATISTICS,9
4612,norsk matematisk f 1,MATHEMATICS,9
4613,nw u work pap,DK,9
4614,open ec essays int t,ECONOMICS,9
4615,optimization time,DK,9
4616,order law neighbors,SOCIOLOGY,9
4617,org incomplete infor,ECONOMICS,9
4618,organization industr,BUSINESS,9
4619,other path,DK,9
4620,p bus ec stat s,DK,9
4621,p bus ec stat sect a,ECONOMICS,9
4622,p business economic,ECONOMICS,9
4623,p ieee,COMPUTER,9
4624,pap reg sci,URBAN STUDIES,9
4625,patent trademark cop,LAW,9
4626,patterns racial disc,SOCIOLOGY,9
4627,paying productivity,ECONOMICS,9
4628,pch22,DK,9
4629,pension design struc,ECONOMICS,9
4630,pers indiv differ,PSYCHOLOGY,9
4631,personnel,DK,9
4632,personnel ec,ECONOMICS,9
4633,perspectives ec agin,ECONOMICS,9
4634,philos political ec,DK,9
4635,philos rev,PHILOSOPHY,9
4636,physiol behav,HEALTH,9
4637,pier,NATURAL SCIENCES,9
4638,planovane hospodarst,ECONOMICS,9
4639,pleistocene extincti,HISTORY,9
4640,points,DK,9
4641,policy res working p,PUBLIC POL,9
4642,polit econ i decis,ECONOMICS,9
4643,polit soc,SOCIOLOGY,9
4644,political arithmetic,POLSCIENCE,9
4645,political order chan,POLSCIENCE,9
4646,popul res policy rev,DEMOGRAPHY,9
4647,positioning pensions,ECONOMICS,9
4648,post walrasian macroeconomics: beyond the dynamic stochastic general equilibrium model,ECONOMICS,9
4649,postwar ec studies,ECONOMICS,9
4650,poverty and famines,SOCIOLOGY,9
4651,poverty famines essa,SOCIOLOGY,9
4652,pr13,DK,9
4653,preference utility d,ECONOMICS,9
4654,preretirement years,ECONOMICS,9
4655,price stat federal g,ECONOMICS,9
4656,price theory applica,ECONOMICS,9
4657,princ stud int fi,FINANCE,9
4658,princ u ind rel s,BUSINESS,9
4659,principles investmen,FINANCE,9
4660,printers ink,DK,9
4661,privatization ec ana,ECONOMICS,9
4662,probability models c,STATISTICS,9
4663,probl communism,POLSCIENCE,9
4664,proceedings,DK,9
4665,production applicati,ECONOMICS,9
4666,productivity am lead,ECONOMICS,9
4667,profits,BUSINESS,9
4668,progr tax inc,ECONOMICS,9
4669,promoting competitio,ECONOMICS,9
4670,psychosom med,HEALTH,9
4671,public expenditure d,ECONOMICS,9
4672,publications am stat,STATISTICS,9
4673,qme-quant mark econ,COMMUNICATION,9
4674,qualitative choice a,DK,9
4675,quantitative studies,DK,9
4676,rand corp pap,ECONOMICS,9
4677,random processes gro,STATISTICS,9
4678,random walk wall str,FINANCE,9
4679,re,DK,9
4680,real complex anal,MATHEMATICS,9
4681,real effects investo,ECONOMICS,9
4682,reform federal depos,BUSINESS,9
4683,regions resources ec,ECONOMICS,9
4684,res aging,DEMOGRAPHY,9
4685,resale price mainten,BUSINESS,9
4686,rethinking stabilization policy,ECONOMICS,9
4687,rev derivatives res,FINANCE,9
4688,rev ec stat s,ECONOMICS,9
4689,rev ec statist,ECONOMICS,9
4690,rev ECONOMICSstat s,ECONOMICS,9
4691,rev economie politiq,ECONOMICS,9
4692,rev hist econ soc,ECONOMICS,9
4693,rise western world,POLSCIENCE,9
4694,risks financial i,FINANCE,9
4695,role mergers growth,BUSINESS,9
4696,royal ec soc,ECONOMICS,9
4697,s l insurance mess d,HEALTH,9
4698,saving accumulation,ECONOMICS,9
4699,scand j forest res,NATURAL SCIENCES,9
4700,sci technology ec gr,ECONOMICS,9
4701,scottish j polit feb,POLSCIENCE,9
4702,security markets sto,ECONOMICS,9
4703,selfishness altruism,PSYCHOLOGY,9
4704,sequential anal,STATISTICS,9
4705,sex transm infect,HEALTH,9
4706,simulation based inf,STATISTICS,9
4707,sitzber k preuss aka,DK,9
4708,slavic rev,POLSCIENCE,9
4709,so econ j,ECONOMICS,9
4710,social system,PUBLIC POL,9
4711,social theory social,SOCIOLOGY,9
4712,some aspects inequal,SOCIOLOGY,9
4713,some aspects tariff,ECONOMICS,9
4714,soviet ec dev 1917,ECONOMICS,9
4715,soviet ec growth,ECONOMICS,9
4716,sozialistische monat,MEDIA,9
4717,spectator,DK,9
4718,ssrn,DK,9
4719,stabilizing world co,ECONOMICS,9
4720,staff papers int mon,ECONOMICS,9
4721,stanf grad sch b,BUSINESS,9
4722,stanf u dep stat,STATISTICS,9
4723,stat econometric mod,ECONOMICS,9
4724,stat methods,STATISTICS,9
4725,statsokonomisk tidss,STATISTICAL DATA,9
4726,sticerd lond,ECONOMICS,9
4727,stochastic optimal c,MATHEMATICS,9
4728,strategic management,BUSINESS,9
4729,struct am ec 1,ECONOMICS,9
4730,structure ec math an,ECONOMICS,9
4731,structure income,ECONOMICS,9
4732,stud income wealth,ECONOMICS,9
4733,studies ec dynamics,ECONOMICS,9
4734,sun maid herald,MEDIA,9
4735,survey current b aug,BUSINESS,9
4736,survey current b jul,BUSINESS,9
4737,survey current b nov,BUSINESS,9
4738,survey current bus s,BUSINESS,9
4739,survey int trade the,ECONOMICS,9
4740,sver riksb,STATISTICAL DATA,9
4741,swedish j ec,ECONOMICS,9
4742,swiss j ec stat,ECONOMICS,9
4743,t asme,GENERAL-SCIENTIFIC,9
4744,tax law rev,LAW,9
4745,technical anal stock,FINANCE,9
4746,technology pork barr,ECONOMICS,9
4747,tel av u foerd i,ECONOMICS,9
4748,theory competitive p,ECONOMICS,9
4749,theory economic inte,ECONOMICS,9
4750,theory evolution dyn,NATURAL SCIENCES,9
4751,theory int trade unc,ECONOMICS,9
4752,theory labor movemen,ECONOMICS,9
4753,theory practice recu,DK,9
4754,thesis austr nationa,DK,9
4755,thesis cambridge u,DK,9
4756,thesis harvard u lib,DK,9
4757,thesis oxford,DK,9
4758,thesis u maryland,DK,9
4759,thesis u toronto,DK,9
4760,this time is different: eight centuries of financial folly,FINANCE,9
4761,ti,DK,9
4762,time,DK,9
4763,time series,STATISTICS,9
4764,tnec monog,ECONOMICS,9
4765,toeplitz forms their,MATHEMATICS,9
4766,trade tariffs growth,ECONOMICS,9
4767,traite sociologie ge,SOCIOLOGY,9
4768,transversal mappings,MATHEMATICS,9
4769,trust,DK,9
4770,trust making breakin,SOCIOLOGY,9
4771,u cal ctr lab ec,ECONOMICS,9
4772,u cal ctr res ma,LAW,9
4773,u chic work,DK,9
4774,u penns,DK,9
4775,u tor work pap,DK,9
4776,un crim rep us,SOCIOLOGY,9
4777,unbound prometheus t,ECONOMICS,9
4778,uncertainty ec,ECONOMICS,9
4779,unions capitalism,ECONOMICS,9
4780,unpub consumption li,ECONOMICS,9
4781,unpub consumption po,ECONOMICS,9
4782,unpub determinants c,ECONOMICS,9
4783,unpub dividend yield,FINANCE,9
4784,unpub dynamic equili,ECONOMICS,9
4785,unpub further eviden,DK,9
4786,unpub games ec behav,ECONOMICS,9
4787,unpub incomplete con,DK,9
4788,unpub increasing ret,ECONOMICS,9
4789,unpub information ag,DK,9
4790,unpub insider tradin,FINANCE,9
